company_id,company_name,t,deal_id,deal_date,raw_stage,obs_token,deal_size_usd_mn,log_raise,company_revenue_curr_mn,delta_days,is_last_event
29711,Endosense,1,V35371,2012-11-27,Series C,Series C,40.3,3.720862499966987,,4759.0,1
30760,"Small Bone Innovations, Inc.",1,V303,2010-05-04,Series E,Series E,12.0,2.5649493574615367,,,0
30760,"Small Bone Innovations, Inc.",2,V305,2010-12-17,Series F,Series E,15.0,2.772588722239781,,,0
30760,"Small Bone Innovations, Inc.",3,V13102,2011-12-07,Venture Debt,DEBT,43.0,3.784189633918261,,5115.0,1
31087,"CeraPedics, Inc.",1,V257120,2012-07-12,Series C,Series C,12.09,2.5718485799218085,,,0
31087,"CeraPedics, Inc.",2,V28021,2012-11-26,Series C,Series C,7.0,2.0794415416798357,,,0
31087,"CeraPedics, Inc.",3,V61648,2014-04-18,Venture Debt,DEBT,9.0,2.302585092994046,,,0
31087,"CeraPedics, Inc.",4,V84697,2015-02-18,Series C,Series C,4.0,1.6094379124341003,,,0
31087,"CeraPedics, Inc.",5,V84698,2015-04-07,Venture Debt,DEBT,4.0,1.6094379124341003,,,0
31087,"CeraPedics, Inc.",6,V121404,2017-04-19,Venture Debt,DEBT,20.0,3.044522437723423,,,0
31087,"CeraPedics, Inc.",7,V289449,2019-01-01,Venture Debt,DEBT,45.0,3.828641396489095,,2533.0,1
32441,Neoss Ltd,1,V106801,2011-11-06,Venture Debt,DEBT,1.61,0.9593502213346021,14.74,5146.0,1
32456,IncentOne,1,V3257,2010-01-12,Series B,Series B,,,,,0
32456,IncentOne,2,V51428,2013-10-22,Add-on,ADDON,,,,4430.0,1
32499,"Threshold Pharmaceuticals, Inc.",1,V35741,2010-11-03,Grant,GRANT,0.49,0.3987761199573678,,,0
32499,"Threshold Pharmaceuticals, Inc.",2,V41557,2012-04-11,PIPE,EXITLIKE,20.0,3.044522437723423,0.06,4989.0,1
32725,Misonix Inc,1,V271587,2021-10-29,Add-on,ADDON,518.0,6.251903883165888,74.02,1501.0,1
33745,Baxano Inc.,1,V2631,2010-06-15,Series C,Series C,30.0,3.4339872044851463,,,0
33745,Baxano Inc.,2,V39842,2013-03-04,Add-on,ADDON,23.6,3.202746442938317,,,0
33745,Baxano Inc.,3,V59494,2013-12-03,Venture Debt,DEBT,15.0,2.772588722239781,,4388.0,1
34643,DynaVox,1,V63623,2014-05-21,Add-on,ADDON,18.0,2.9444389791664403,,4219.0,1
34846,"Solta Medical, Inc.",1,V2807,2010-01-11,PIPE,EXITLIKE,17.2,2.9014215940827497,,,0
34846,"Solta Medical, Inc.",2,V2809,2010-03-05,PIPE,EXITLIKE,4.75,1.749199854809259,,,0
34846,"Solta Medical, Inc.",3,V39381,2010-04-01,Venture Debt,DEBT,22.0,3.1354942159291497,98.82,,0
34846,"Solta Medical, Inc.",4,V56170,2013-11-18,Venture Debt,DEBT,60.0,4.110873864173311,,4403.0,1
34860,TNI Medical AG,1,V26059,2010-01-12,Growth Capital/Expansion,Series E,2.82,1.3402504226184837,,,0
34860,TNI Medical AG,2,V93636,2015-09-21,Unspecified Round,UNSPEC,3.4,1.4816045409242156,,3731.0,1
34986,Dune Medical Devices,1,V66103,2014-06-26,Series C,Series C,14.0,2.70805020110221,,,0
34986,Dune Medical Devices,2,V126059,2016-08-22,Grant,GRANT,3.38,1.4770487243883548,,,0
34986,Dune Medical Devices,3,V126060,2017-07-06,Series D,Series D,12.3,2.5877640352277083,,3077.0,1
36276,"Acufocus, Inc.",1,V12148,2011-11-29,Series F,Series E,65.0,4.189654742026425,,,0
36276,"Acufocus, Inc.",2,V12144,2011-12-01,Unspecified Round,UNSPEC,,,,,0
36276,"Acufocus, Inc.",3,V19095,2012-02-07,Series F,Series E,40.0,3.713572066704308,,,0
36276,"Acufocus, Inc.",4,V71107,2014-09-03,Unspecified Round,UNSPEC,21.0,3.091042453358316,,,0
36276,"Acufocus, Inc.",5,V156131,2016-01-26,Venture Debt,DEBT,,,,,0
36276,"Acufocus, Inc.",6,V156128,2016-05-05,Venture Debt,DEBT,5.8,1.916922612182061,,,0
36276,"Acufocus, Inc.",7,V108979,2016-09-09,Unspecified Round,UNSPEC,66.0,4.204692619390966,,3377.0,1
36561,Nightingale Informatix Corporation,1,V70899,2014-08-25,Venture Debt,DEBT,3.5,1.5040773967762742,,4123.0,1
37067,"Proteus Biomedical, Inc.",1,V23098,2010-01-12,Unspecified Round,UNSPEC,24.0,3.2188758248682006,,,0
37067,"Proteus Biomedical, Inc.",2,V23099,2010-04-21,Series E,Series E,25.0,3.258096538021482,,,0
37067,"Proteus Biomedical, Inc.",3,V23101,2010-04-21,Grant,GRANT,0.51,0.412109650826833,,5710.0,1
38106,Metrasens,1,V4254,2010-02-26,Growth Capital/Expansion,Series E,3.45,1.4929040961781488,,,0
38106,Metrasens,2,V39986,2013-03-05,Unspecified Round,UNSPEC,4.47,1.6992786164338898,,4661.0,1
40983,"HALT Medical, Inc.",1,V122388,2011-09-07,Series B,Series B,2.0,1.0986122886681096,,,0
40983,"HALT Medical, Inc.",2,V17706,2012-02-11,Venture Debt,DEBT,20.0,3.044522437723423,,5049.0,1
44541,Cymbet Corporation,1,V514,2010-01-25,Series C,Series C,31.0,3.4657359027997265,,5796.0,1
45311,IGI,1,V45466,2010-03-31,Series C,Series C,1.55,0.9360933591703348,,5731.0,1
46521,"Payspan, Inc.",1,V115276,2017-01-05,Unspecified Round,UNSPEC,,,,3259.0,1
47051,ESO Solutions Inc.,1,V24508,2012-06-19,Series B,Series B,4.0,1.6094379124341003,,,0
47051,ESO Solutions Inc.,2,V106606,2016-07-08,Growth Capital/Expansion,Series E,17.66,2.926382195419198,,3440.0,1
48675,"Accuri Cytometers, Inc.",1,V3515,2010-07-12,Series E,Series E,6.0,1.9459101490553132,,5628.0,1
48740,"Celleration, Inc.",1,V22563,2011-01-07,Series E,Series E,8.0,2.1972245773362196,,,0
48740,"Celleration, Inc.",2,V46250,2013-01-04,Series A,Series A,6.42,2.004179057179289,,4721.0,1
48837,phenox GmbH,1,V3603,2010-08-30,Unspecified Round,UNSPEC,,,,,0
48837,phenox GmbH,2,V292804,2022-04-21,Add-on,ADDON,539.43,6.292365118978927,,1327.0,1
49177,Integrated Medical Partners,1,V4064,2010-09-07,Growth Capital/Expansion,Series E,2.0,1.0986122886681096,,5571.0,1
49431,Zahnarztzentrum.ch,1,V3973,2010-09-09,Unspecified Round,UNSPEC,19.25,3.0081547935525483,28.0,5569.0,1
49929,RxEye,1,V3640,2010-09-21,Growth Capital/Expansion,Series E,2.57,1.2725655957915476,,5557.0,1
50479,"Sophiris Bio, Corp.",1,V47478,2012-03-28,PIPE,EXITLIKE,8.3,2.2300144001592104,,5003.0,1
50958,Dynavax Technologies Corporation,1,V36817,2010-09-20,Unspecified Round,UNSPEC,30.0,3.4339872044851463,,,0
50958,Dynavax Technologies Corporation,2,V78861,2014-12-30,Venture Debt,DEBT,40.0,3.713572066704308,11.25,3996.0,1
51259,Oxford Cryosystems,1,V93452,2010-09-25,Unspecified Round,UNSPEC,,,,5553.0,1
